actor1,actor2,weight
0,920,6.25
0,1020,8.625
0,1353,8.708333333333334
0,1690,8.708333333333334
0,1850,8.708333333333334
0,1932,8.708333333333334
0,2007,8.625 
0,2078,8.625
0,2123,6.25
0,2243,8.625
0,2289,6.25
0,2564,8.708333333333334
0,2733,6.25
0,2850,6.25
0,3088,8.625
1,8,7.0
1,302,3.0
1,1157,7.0
1,1261,7.0
1,1331,7.0
1,1806,7.0
1,1991,3.0
1,2475,3.0
1,2572,3.0
1,3044,3.0
3,213,7.75
3,879,7.75
3,1993,7.75
3,2317,7.75
3,2900,7.75
4,242,8.642857142857142
4,749,8.642857142857142
4,1293,8.642857142857142
4,2225,8.642857142857142
4,2646,8.642857142857142
5,6,7.642857142857143
5,454,7.642857142857143
5,1833,7.642857142857143
5,2301,7.642857142857143
5,2952,7.642857142857143
6,26,8.208333333333334
6,275,7.333333333333333
6,306,7.583333333333333
6,355,8.729166666666666
6,454,7.642857142857143
6,606,7.166666666666667
6,685,9.5
6,790,7.333333333333333
6,887,7.7272727272727275
6,908,8.583333333333334
6,928,7.7272727272727275
6,1023,7.583333333333333
6,1283,7.7272727272727275
6,1326,7.583333333333333
6,1419,7.583333333333333
6,1479,7.333333333333333
6,1486,7.166666666666667
6,1512,8.875
6,1518,8.729166666666666
6,1528,7.166666666666667
6,1690,7.7272727272727275
6,1740,9.5
6,1803,9.5
6,1833,7.642857142857143
6,2046,7.333333333333333
6,2088,9.5
6,2301,7.342105263157895
6,2354,9.5
6,2480,7.7272727272727275
6,2562,7.333333333333333
6,2701,8.729166666666666
6,2816,7.583333333333333
6,2952,7.642857142857143
7,874,8.375
7,1229,9.5
7,1236,9.5
7,1289,9.5
7,1586,9.5
7,1682,8.375
7,1740,9.5
7,2138,8.375
7,2494,8.375
7,2688,8.375
8,737,8.5
8,1157,7.25
8,1261,7.25
8,1331,7.25
8,1806,7.25
9,55,8.458333333333334
9,214,9.166666666666666
9,352,8.916666666666666
9,496,9.166666666666666
9,833,9.166666666666666
9,903,8.458333333333334
9,1454,8.916666666666666
9,1850,8.458333333333334
9,1952,9.166666666666666
9,2046,8.916666666666666
9,2285,8.458333333333334
9,2354,8.458333333333334
9,2562,8.916666666666666
9,2648,9.166666666666666
9,3065,8.916666666666666
10,111,8.75
10,144,9.75
10,478,9.75
10,663,8.916666666666666
10,833,9.75
10,945,8.916666666666666
10,1042,8.75
10,1178,8.75
10,1212,9.75
10,1632,8.916666666666666
10,1680,9.75
10,1723,9.75
10,1749,9.75
10,1798,9.75
10,1910,8.75
10,1937,8.916666666666666
10,2082,8.916666666666666
10,2533,8.75
10,2694,9.75
10,2822,9.75
11,13,8.0
11,107,9.333333333333334
11,119,9.458333333333334
11,147,9.458333333333334
11,174,8.708333333333334
11,309,9.458333333333334
11,381,9.333333333333334
